,audit_observation,recommendations,status_of_implementation,reasons_for_partial_or_non_implementation,management_action,references,source
2738,,"3. nineteen parcel of lots with total areas of 114,891 square meters consisting of agricultural lands, commercial lots and residential lots with total market value of p16,783,830.00 were not yet titled and ownership was not yet transferred to the municipality, thus exposing the said lots to the risk of third party claim. moreover, most of these lots were not recorded in the books contrary to section 63 of p.d. no. 1445, thus the reported balance of land account as of the year-end is unreliable. we recommended that the municipal treasurer account for all land titles, tax declarations, deeds of sale, deeds of donation and others proofs of ownership of land. the coordinated effort of the municipal treasurer, municipal assessor, municipal accountant and the head of mpdc may be required in this endeavor. we also recommend that the municipal treasurer and the head of mpdc should request for a budget for the titling of the subject real properties of the municipality to ensure the municipality’s",not implemented ,insufficiency of funds. , ,aar cy 2012 finding no. 3,13-cabangan2013_part3-status_of_py's_recommendations.pdf
2739,,"4. the failure of the municipality to follow sound property and supply management resulted in various control breakdowns and lapses, thus rendered the property, plant and equipment account valued at p16,552,001.42 doubtful. we recommended that management: a. apply immediately for fidelity bond of the agency’s property and supply officer to avoid future losses to the government in the event public properties under the custody of accountable officer are damage or loss through fortuitous event or theft; b. instruct the inventory committee that, after the physical inventory- taking, the reconciliation should be made with the property and accounting records. all discrepancies between physical and book inventories must be investigated, cleared and reconciled immediately; c. instruct the general services office and accounting unit to exert effort to maintain pc and ppelc, respectively in order to provide check and balance and ensure the accuracy of recorded ppe; d. instruct the gso to issue acknowledgement receipts for equipment (ares) whenever there are issuances of equipment and other properties; e. instruct the accountant to record small tangible items with estimated useful life of more than one year as inventories upon acquisition and expense upon issuance. moreover, books which do not qualify as library books should be recorded as expense upon issuance; and f. advice the accountant to review the useful life of all depreciable",partially implemented ,occupied with other similarly important duties. , ,aar cy 2012 finding no. 4 ,13-cabangan2013_part3-status_of_py's_recommendations.pdf
2740,,"5. various expenses totalling p1,723,215.94 were improperly charged against the 20% development fund thereby deliberately reduced the fund intended to finance the development projects under the approved annual investment plan. we recommended that management instruct the municipal budget officer and the accountant to maximize the utilization of the 20% development fund in financing priority development projects and programs of the municipality as embodied in the duly approved lip or local development plan pursuant to section 4 of dilg and dbm joint memorandum circular no. 2011-1 dated april 11, 2011. furthermore, stop the practice of utilizing the said fund for any other purposes.",not implemented,it was reiterated in this year’s audit recommendat ion.,,aar cy 2012 finding no. 5,13-cabangan2013_part3-status_of_py's_recommendations.pdf
2741,,"6. acquisition of trophies, medals and medicines amounting to p74,440.38 and p342,595.50 respectively was done through shopping and small-value procurement, thus the municipality was not assured of the most advantageous price in violation of 65.1.d of the implementing rules and regulations (irr) of r.a. 9184. we recommended that management instruct the chairman of bids and awards committee (bac) to comply with the procurement regulations as prescribed under section 65.1.d of the irr and annex h of r.a. 9184.",not implemented.,the same was reiterated in this audit report.,,aar cy 2012 finding no. 6,13-cabangan2013_part3-status_of_py's_recommendations.pdf
2742,,"7. incomplete documentation on hiring of casuals and job orders and of the subsequent payment of wages thereof contrary to section 5 of the executive order 292, dated july 25, 1987 otherwise known as the administrative code of 1987 and item no. 4.1.3 of the coa circular no. 2012-001 dated june 14, 2012 cast doubts to the validity of appointments and disbursements made. we recommended that management: a. instruct the human resource personnel to carefully scrutinized all the documents submitted as to its completeness and accuracy; b. inform all applicants to submit the needed documents pursuant to section 5 of the administrative code of 1987 for them to be included in the roster of qualified applicants; c. see to it payment of wages is supported with a certification by the local chief executive that the employment is still within the personal services limitation prescribed under section 325(a) of ra no. 7160 and that the activities/services rendered by the consultants cannot be provided by regular or permanent personnel of the agency.",partially implemented . ,reiterated with modified recommendati ons , ,aar cy 2012 finding no. 7 ,13-cabangan2013_part3-status_of_py's_recommendations.pdf
2743,,"8. engagement of services as consultant was not highly technical in nature and can be provided by regular employee of the local government unit in violation of dbm national budget circular no. 433 dated march 1, 1994, hence resulted in the incurrence of unnecessary used of government funds which could have been allotted for other beneficial financial needs of the municipality. we recommended that management: a. refrain from engaging services of consultants for projects not requiring highly specialized or technical expertise in a field of special knowledge or training which can be provided by the regular staff of the agency. b. adhere to the provisions set forth on the guidelines on procurement of consulting services published by the national economic development authority and sections 2.0 and 3.2 to 3.4 of dbm national budget circular no. 433 specifically the preparation of term of reference.",fully implemented , , ,aar cy 2012 finding no. 8 ,13-cabangan2013_part3-status_of_py's_recommendations.pdf
2744,,"9. non-compliance with the guidelines spelled out under r.a. no. 10121 dated may 27, 2010 otherwise known as the philippine disaster risk reduction and management act of 2010 and coa circular 2012-002 dated september 12, 2012, specifically sections 21 and 5.1.10, respectively, may result to misappropriation, loss or wastage of fund intended to support risk reduction management. we recommended that management: a. instruct the municipal accountant to immediately effect the transfer of unexpended/unobligat ed balance as of december 31, 2012 of the qrf and the drrmf-mooe to the special trust fund account and prepare adjusting entry changing the old account fire fighting equipment and accessories to the new account disaster response and rescue equipment as follows: disaster response and rescue equipment xxxx fire fighting equipment and accessories xxxx",partially implemented ,the same was reiterated., ,aar cy 2012 finding no. 9,13-cabangan2013_part3-status_of_py's_recommendations.pdf
2745,,"10. the municipality failed to appropriate one percent of its annual budget neither formulate specific plans, programs and projects related to senior citizens and differently-abled, thus depriving the intended beneficiaries of the programs and projects for their upliftment contrary to section 29 of the general appropriations act (gaa) of 2012 and joint circular no 2003-01 of department of budget and management (dbm) and department of social welfare and development (dswd) dated april 28, 2003. we recommended that management: a. appropriate 1% of the annual budget for senior citizen and differently-abled individual pursuant to existing law, rules and regulations. b. advice the sangguniang bayan enact specific guidelines in the formulation of plans, programs, projects and activities that will address the issues of senior citizens and differently-abled individual. c. submit an assessment/evaluation report on the status of compliance in department of social welfare and development for older persons and to the national council for the welfare of disables persons for persons with disabilities.",not implemented ,"due to limited resources, it was incorporated to other projects of similar purpose. ", ,aar cy 2012 finding no. 10 ,13-cabangan2013_part3-status_of_py's_recommendations.pdf
2746,,11. the failure of the,not,the same,,aar,13-cabangan2013_part3-status_of_py's_recommendations.pdf
2747,,"municipality to allocate at least 5% of the total appropriation for gender and development (gad) plan to address gender issues and promote gender equality and women empowerment in violation of section 28 of general appropriations act and joint circular no. 2004-01 of the department of budget and management (dbm), national economic and development authority (neda) and national commission on the role of filipino women (ncrfw) dated april 5, 2004 we reiterated our prior year’s recommendation that management: 1. formulate a gad plan with its set programs specifying the calendar of activities working toward the targeted outputs. 2. implement strictly the gad plan by allocating at least five percent of the agency’s total appropriations to uplift and promote gender equality and women empowerment in the municipality.",implemented,was reiterated.,,cy 2012 finding no. 11,13-cabangan2013_part3-status_of_py's_recommendations.pdf
2782,,"1. some revenue collectors had the practice of concealing actual accountability by not presenting for inventory accountable forms in their respective possession and custody resulting to unremitted and/or delayed remittances of collections. we recommended that the cashier comply with the above cited regulation in order to improve or strengthen the internal control with regard to cash collections and accountable forms. also, instruct the revenue collector to remit immediately the balance of her cash accountability amounting to p60,000.00.",partially implemented,,"we appreciate your observation as it tends to improve further our treasury’s collection and accountable forms custodianship. rest assured that this administration shall come up with better system by which collections are to be remitted regularly presenting likewise accountable forms in their possession for inventory purposes. we have likewise assigned qualified and efficient employees to take charge of collections and monitoring of issuances of accountable forms. nevertheless, our cashier shall be in-charge of closer monitoring. moreover i am pleased to inform you that our revenue collector has already fully remitted last december 2013, the balance of his cash accountability in the amount of 60,000.00.",2012 aar,01-bolinao2013_audit_report.pdf
2783,,"2. despite efforts exerted by management, cash advances granted to officers and employees of the municipal government amounting to p726,362.45 remained unliquidated as of december 31, 2012 which was not in accordance with the provisions of coa circular no. 97-002. we recommended that management strictly implement the provisions of above cited laws as well as the amendment of section 8 rule v of csc resolution no. 04-0676 which provides that “ x xx . full liquidation/settlement/paym ent of the subject cash advance outside the given periods shall constitute the offense of simple neglect of duty punishable by suspension from the service for one month and one day to six months for the first offense, and dismissal from the service for the second offense.”",partially implemented ,,"d from 726,362 in december 31, 2012, unliquidated cash advances was decreased to 509,293.52 as of ecember 31, 2013. it is informed that what had remained unliquidated were cash advances whose grantees were either dead or separated from the government services, and that collection from their respective families is remote since they were known to be of poor living, no properties whatsoever form which the municipality could run after in the settlement of their respective unliquidated cash advances.",2012 aar ,01-bolinao2013_audit_report.pdf
2784,,"3. despite the issuance of previous year’s audit observation on past due receivable accounts, p3,407,846.74 worth of receivables remained outstanding in the books which were aged 10 to 20 years and the possibility of collecting these receivables is already remote and there are no indications that these accounts are recoverable. we recommended that management exhaust all possible means to effect collection of receivables. in case of non-collection, the agency should request for the writing-off of the above receivables thru the following procedures: a. the municipal accountant should make a recommendation addressed to the local chief executive who, in turn, shall forward the request for writing off to the sangguniang bayan for the adoption of a resolution. the request should be supported with documents evidencing action taken/effort exerted to establish validity and existence of the accounts. b. the request together with the sb resolution shall be forwarded by the local chief executive to the commission on audit for review and for approval.",partially implemented ,,the municipal accountant is already on the process of gathering documents and preparing the draft for the write-up. ,2012 aar ,01-bolinao2013_audit_report.pdf
2785,,"4. bank reconciliation statement (brs) for each bank account was not prepared on a monthly basis, thus depriving the opportunity of timely review of the cash in bank account of the municipality. we reiterate our recommendation that the municipal accountant prepare the bank reconciliation statements on a monthly basis so that errors, if any, could be detected and submit the same to the audit team concerned for verification and review.",fully implemented,,"starting april, 2013, we have already prepared our monthly bank reconciliation statements in all funds and submitted the same to the audit team for verification.",2012 aar,01-bolinao2013_audit_report.pdf
2786,,"5. the recorded balances of property, plant and equipment (ppe) of all funds as of december 31, 2012 in the amount of p102,407,669.11 (net of depreciation and construction in progress) remained uncertain due to incomplete physical inventory pursuant to section 124 of the manual on the new government accounting system volume i. likewise, the form prescribed by the same manual to report on the physical count of ppe was not complied. we reiterate our recommendation that the hon. municipal mayor require the inventory committee to complete the conduct of inventory taking of all types of ppe not only under the general fund but also ppe under the special education fund and bolinao waterworks system in order to determine their existence and condition and to reconcile the amount in the inventory report with the balance in the general ledger in order to arrive at the correct balances of ppe accounts in the financial statements.",not implemented ,,"we feel sorry for this audit recommendation because i am informed that every year in your annual audit report, the same has always been a major finding yet, inventory of all physical assets had ever been completed. this year we commit to comply by creating an inventory committee tasked to conduct physical inventory of all municipal assets. the committee shall be under my supervision which is composed of the following: a. municipal treasurer – chairman b. municipal accountant – vice- chairman c. municipal budget officer – co-vice chairman d. municipal engineer - member",2012 aar ,01-bolinao2013_audit_report.pdf
2787,,"6. the budget for gender and development (gad)- administered programs of p2,265,000.00 did not represent the fund requirementequivalent to at least 5 per cent of the total appropriation as authorized under joint circular no. 2004-1 dated april 5, 2004, thus, gad-related activities and program required for maximum fulfilment may not have been attained. we recommended that management comply with at least 5 per cent fund requirement in implementing gad – related projects and programs in order to attain maximum fulfillment of its objectives. likewise, gender issues shall include more activities addressed to the welfare of women.",partially implemented ,,"p 5 we have total appropriations in the annual budget 2013 in the amount of 121,940.000.00 only, not 174,940,426.00, 5% of which should be 6,097,000.00. our gad lan in the amount of 3,494,600.00 is below the % required but we have some programs/projects/activities attributed to gad as follows: - medicines - 2,100,000.00 - health & nutrition - 400,000.00 - rehabilitation of drainage system – 1,000,000.00 - rehabilitation of barangay roads – 600,000.00 total - 4,100,000.00 so that our gad budget is more than 5% as required.",2012 aar ,01-bolinao2013_audit_report.pdf
2788,,"7. notwithstanding the issuance of prior year’s audit observation memorandum with regard to claims on consumption of fuel, oil and lubricants, infractions on audit rules and regulations were still observed which pertained to documents attached to disbursement vouchers to validate payments on gasoline expenses which were not in conformity with section 4(6) of pd 1445 which states thusly: “claims against government funds shall be supported with complete documentation.” we recommended that the municipal accountant ensure completeness and authenticity of supporting documents especially the cash invoices before affixing his signature to the disbursement voucher in order to establish the authenticity, validity and correctness of the claim.",not implemented,,we realized that even as we had efforts to complete supporting documents important data like dates were missing. the employee in charge of preparation of the claim was already called upon to clear on some things regarding the invoices. she assured me of her compliance.,2012 aar,01-bolinao2013_audit_report.pdf
2789,,8. had market stall rental,not,,the construction of a new,2012,01-bolinao2013_audit_report.pdf
2790,,"delinquencies totaling p1,536,450.00been collected, additional funds for the improvement of the existing public marketcould have beenavailable for appropriation. we recommended that management employ stringent measures against delinquent stallholders. in addition, the market supervisor shall be the one responsible to effectively administer market operation. he should be required to monitor the implementation of the market policies and to determine whether collection efficiency is achieved at a desired level. 9. taxes withheld by the municipality totaling p1,725,240.33 was not remitted at year end which was not in consonance with the provisions of bir regulation no. 02-98 dated april 17, 1998. we recommended that the municipal accountant and the municipal treasurer remit in full all the taxes withheld by the municipality within the 10th day of following month pursuant to bir regulation no. 02-98 to avoid payment of penalties and to help the national government to accumulate funds for the implementation of its various programs and activities. ",implemented fully implemented ,,"wet market has already been completed, moreover, the updating or revision of the local revenue code is underway to complement the new rates of stall rentals. new policies will be promulgated that includes a provision wherein delinquent stall holders will not allowed occupying unit unless their arrears are settled. penalties and surcharges shall be imposed in order to curb delinquencies. taxes withheld was already remitted on january, 2013. ",aar 2012 aar ,01-bolinao2013_audit_report.pdf
3237,,"their accountabilities within the prescribed period. as to unsettled cash advances of officials and employees who are no longer in the service, the management was advised to send demand letters to their last known addresses and consider the possibility of filing appropriate charges to enforce settlement.",partially imple- mented,"this observation is reiterated in finding # 9, page 50 of this aar.",the oic-municipal accountant is tracing the unsettled accounts.,,09-binangonan2013_part3-status_of_py's_recommendations.pdf
3986,,"the year; subject to replenishment as frequently as necessary during the year; c) official travel – within thirty (30) days after return to his permanent official station in the case of local travel, as provided for in eo 248 and coa circular no. 96-004. 11. we recommended that the municipal accountant closely monitor outstanding advances of officials and employees and demand immediate settlement pursuant to above cited provisions/regulations of the circular. if warranted, withholding of salaries of those who failed to comply with the requirements must be imposed. further, no additional cash advances must be given to those who have unliquidated balances. 12. likewise, require the municipal",partially implemented partially,no reason was given by management. no reason was given by,"no action taken by management oic, accounting",,10-rodriguez2013_part3-status_of_py's_recomendations.pdf
3987,,accountant to submit schedule for due from officers and employees account.,implemented,management.,office only submitted schedules for due from officers and employees-sef and trust fund,,10-rodriguez2013_part3-status_of_py's_recomendations.pdf
4637,,"for the payment of the same. see to it that agency clearance would not be issued to any official/employee unless all her cash advances have been fully settled. lastly, we recommended that the municipal accountant review and analyze the account of the municipal treasurer with credit balance and effect the needed corrections/adjustments in the books of accounts to come up with the correct balance of the account.",partially implemented,as the adjustment is not yet effected.,the municipal accountant said that the negative balance pertains to the over liquidation of cash advance of the municipal treasurer (mt). this will be adjusted in 2014 as the mt has no more intention of claiming it.,,10-pililla2013_part3-status_of_py's_recommendations.pdf
