,audit_observation,status_of_implementation,reasons_for_partial_or_non_implementation,management_action,references,source
3356,10. monthly fuel consumption of municipal motor vehicles and construction and heavy equipment were not reported by the treasurer in the monthly report of fuel consumption to be submitted to the auditor to determine the reasonableness of the quantity and cost of fuel and lubricants being issued. we recommended that management should provide adequate controls to improve efficiency and accountability in the consumption of fuel issued to government motor vehicles. defective odometers should be repaired to aid in the reading of the distance traveled. drivers should indicate in the trip ticket the balances of fuel in tank before and after the travel and management should see to it that the fuel consumption shall be justified through its utilization in public service. ,,not implemented defective odometers were not repaired.,not implemented,aar 2011,05-bambang2013_part3-status_of_py's_recommendations.pdf
3358,"12. the municipality stand to lose the total amount of p7.76m due to the disadvantageous contract entered with the consortium represented by micromac computer systems, inc. for the installation of the local governance enhancement program otherwise known as the integrated one—stop—shop information system of the municipal treasury which operations were abruptly discontinued due to encountered technical and system problems, insufficient technical support from the contracted party and the breach of the terms and conditions of the agreement. we recommended that the management should create means and ways by which they could legally enforce their rights in the recovery of lost money by filing legal cases against liable persons who participated in the materialization of the disadvantageous lgep contract. ",,"not implemented management could not reach micromac computer systems, inc due to change of administration.",no action taken.,aar 2011,05-bambang2013_part3-status_of_py's_recommendations.pdf
3359,"13. cash in- vault of the general fund and trust fund amounting to p658,044.36 and p22,303.86, respectively of the municipality remain undeposited at the end of the year is not in accord with the provision of sections 8 and 28 of coa circular 92-382 and sections 31 and 32 of the manual on the new government accounting system (mngas) for lgu’s, thereby exposing to possible misuse of funds. we recommended that the accountable officers deposit intact their collections not later than the next banking day in order to prevent the temptation of possible misuse of collections. we also recommended that the municipal accountant should prepare separate subsidiary ledgers of the accountabilities of the municipal treasurer and other accountable officers to keep track of individual undeposited collections and to facilitate the reconciliation of accountabilities with the cashbook. ",,"not implemented no demand was made to the accountable officers the former collecting officer, ms. natividad mallari was already retired from government service. reiterated in finding no. 4, page 25, part ii of cy 2013 aar",no collections made.,aar 2012,05-bambang2013_part3-status_of_py's_recommendations.pdf
3361,"15. cash advances amounting to p5,228,833.58 remain unliquidated as of december 31, 2012 contrary to the provision of commission on audit circular no. 97-002, 2009- 002 and coa circular 2012-004, dated november 28, 2012, thus resulted in an inefficient management of the limited cash of the municipality. we recommended that management require the immediate settlement of all long overdue cash advances and if necessary withhold the salaries of the concerned officials and employees for the settlement thereof. comply strictly with the provisions of section 89 of pd no. 1445 and coa cir. no. 97-002 dated february 10, 1997 and coa circular 2012-004, dated november 28, 2012 the granting, utilization and liquidation of cash advances. we also recommended management to reclassify the cash shortage of the former treasurer in the amount of p 2,054,528.96 to the appropriate receivable accounts. ",,"partially implemented reiterated in finding no. 2, page 22, part ii of this report.","demand letters with attached subsidiary ledgers were issued to all employees having outstanding unliquidated cash advances. hence, some employees agreed to have their salaries deducted on a monthly basis. thus the partial collection thereof. on october 2013, the accounting office reclassified the cash shortage of the former ao in the amount of p2,227,565 to the appropriate receivable account.",aar 2012,05-bambang2013_part3-status_of_py's_recommendations.pdf
3363,"17. investments in stocks amounting to p1,000,000.00 was not recorded in the books of the municipality in violation of sections 111 and 112 of pd 1445 thereby resulting to understatements of the asset and government equity accounts. we recommended management to request copy of the stocks certificate from the nvat and to immediately book-up its value. ",,partially implemented,management requested copy of the stock certificate.,aar 2012,05-bambang2013_part3-status_of_py's_recommendations.pdf
3364,"18. the accuracy /validity of the breeding stocks account amounting to p707,033.00 is unreliable due to the absence of actual physical inventory report submitted as proof of existence of the breeding stocks. we recommended that management to instruct all concerned to reconcile the accounting records against existing stocks and accordingly adjust the books of accounts, likewise, the submission of the report on the inventory or physical count of the breeding stocks is required. ",,"not implemented the municipal agriculturist informed that there is no proper turnover over the list of recipients of animal dispersal when the former mao retired from government service. reiterated in finding no. 3, page 24, part ii of this report.",no action taken,aar 2012,05-bambang2013_part3-status_of_py's_recommendations.pdf
3366,"20. the municipal government did not strictly comply with dilg- dbm joint memorandum circular no. 2011-1, dated april 13, 2011, entitled, guidelines on the appropriation and utilization of the 20% of the annual internal revenue allotment for development projects amount. however the appropriated from the 20% development, assistance fund, for barangays during the calendar year 2012, of p3,875,000.00 were not fully utilized resulting to unobligated balance of p 580,238.89 as of december 31, 2012. we recommended that management utilize the funds appropriated for the 20% development fund for development projects, programs, and activities not only for efficient governance but more importantly, the benefits that can be derived from said projects shall be enjoyed by the constituents. ",,"not implemented reiterated in finding no. 14, page 38, part ii of this report.",no action taken,aar 2012,05-bambang2013_part3-status_of_py's_recommendations.pdf
3368,"22. disallowance in audit amounting to p35,483.35 was not settled as of december 31, 2012 due to the failure of management to enforce collection which is not in accord with section 7.1.1 of the rules and regulations on settlement of accounts (rrsa). we recommended that management settle immediately the disallowances. ",,partially implemented,partial settlement was enforced,aar 2012,05-bambang2013_part3-status_of_py's_recommendations.pdf
3371,"25. the financial reports as well as the supporting financial transactions and accounts of the municipality were not submitted to the auditor within the period prescribed by coa circular no. 2009 — 006, hence the review and verification thereof could not be promptly made resulting to delayed communication of results of post audit. we recommended that the accounting office submit to the auditor all financial and other reports within the prescribed period. ",,"not implemented. reiterated in finding no. 13, page 37, part ii of this report.",no action taken.,aar 2012,05-bambang2013_part3-status_of_py's_recommendations.pdf
3372,"26. the cost of identified accomplishment on gender and development (gad) activities was p130,000.00 which is below the mandated budget under section 6.1 of pcw, neda and dbm joint circular no. 2012 — 12 consisting of five percent (5%) of the total agency appropriation thereby affecting the government’s objective of addressing gender issues. we recommended that management properly identify major ppas where gad activities were integrated so as to properly determine and quantify the extent, effectiveness, and efficiency of the lgu in addressing gender issues. the municipality did not conduct the physical inventory of its property, plant and equipment (ppe) accounts for five (5) consecutive years totaling p 138,014,205.48 contrary to section 124 of the manual on the new government accounting system for lgus, volume i hence there is no basis in evaluating the fairness of presentation of ppe accounts in the financial statements. we recommend that the gso designate should implement effective control system on property management through the following: a. the local chief executive shall require the periodic physical count of property annually and the reconciliation between the accounting and property records after inventory taking. a report thereat shall be made using the report on the physical count of property, plant and equipment (rpcppe) which shall be submitted to the auditor concerned not later than january 31 of each year; f. property acknowledgment receipts (pars) shall be issued and renewed every three (3) years; and g.the gso designate should maintain property cards which shall be regularly reconciled with the accounting records. ",,"not implemented gender and development activities mostly are under the dswd & rhu but not properly identified in the aip as gad related. for b.y. 2015. gad related activities will be properly identified. reiterated in finding no. 16, page 41, part ii of this report. not implemented. reiterated in finding no. 1 of this report. ",no action taken.  ,aar 2012 1 ,05-bambang2013_part3-status_of_py's_recommendations.pdf
3373,"only 71.71% of the appropriation for development projects was utilized and development projects required under the joint dilg and dbm memorandum circular no. 1 s.2005 were not prioritized thus, expected benefits due to constituents were not fully achieved during the year. we recommend that management should prioritize the implementation of development projects prescribed by the joint dilg and dbm memorandum circular no. 1 s.2005 and to maximize utilization of the 20%h development fund to provide constituents more benefits. receivables recorded in the books at the beginning of the year were based on the actual collections for the previous year instead of the actual receivables as required by the ngas thus, the balances of real property tax receivable and special education tax receivable were not fairly presented at year end. we recommend the municipal assessor, municipal treasurer and municipal accountant to have proper coordination in complying with the provisions of the ngas in setting up the actual receivables for real property taxes. ",,implemented not implemented,management committed to fully utilize the amount appropriated for the 20% development fund and to date the management is doing its best to implement all the programs indicated in the development plan during the year. the municipal treasurer and the municipal assessor were not aware of this audit recommendation despite the reiteration made by the municipal accountant to concerned personnel.,6 1,01-banna2013_audit_report.pdf
3375,"two (2) motor vehicles allegedly owned by the agency, although recorded in the agency books but certificate of registration were still in the name of the previous owner, hence ownership over these properties is not yet certain. we recommend that frequent follow up be made so that the immediate transfer in the name of the municipality of the two (2) vehicles can be done so that ownership over the same is certain. ",,partially implemented.,one of the vehicles had already been registered while the registration of the other vehicle is in process.,2,01-banna2013_audit_report.pdf
3466,"1. the liquidating officer failed to deposit intact the collections turned over to him by various collectors as of the end of the year in the amount of p217,473.71 in violation of section 32 of the manual on the new government accounting system. we recommend to management to deposit intact all collections received daily such that the year-end balance should reflect only the actual undeposited collections existing at vault at the end of the last working day of the year. ",,"partially implemented. accountability for cash collections was reduced to a net cash-in-vault balance of p78,161.31",management adhered to the audit recommendation,aar 2012,05-ambaguio2013_part3-status_of_pys_audit_recommendations.pdf
3468,"3. the existence of various supplies and materials inventories totalling p1,796,288.21 could not be determined due to the non-conduct of physical inventory taking and the non-submission of corresponding semi-annual inventory reports in violation of section 124 of the manual on the new government accounting system. we recommend for management to conduct physical count of inventories and to submit on time to the auditor the semi- annual inventory reports of supplies and materials which shall be used as basis of validating their existence to prove the assertion of management in including them in the year-end balance sheet. ",,unimplemented. no physical inventory was made on inventory items. some were non-moving. this is reiterated in finding no. 4 of this report.,no action taken by management.,aar 2012,05-ambaguio2013_part3-status_of_pys_audit_recommendations.pdf
3470,"5. taxes withheld from officials, employees and suppliers amounting to p1,407,013.24 remained unremitted to the bureau of internal revenue beyond the reglementary period within which to remit contrary to section 114 of republic act 8424 dated december 11, 1997 and section 2.81 of revenue regulation 2-98 dated april 17, 1998. we recommend for the municipal accountant to immediately prepare the appropriate tax return form and secure the authorization of officials for the payment through the preparation of the dv on all unremitted taxes withheld afterwhich the municipal treasurer shall immediately remit the check payable to the bir. otherwise, all the concerned municipal officials and employees shall be personally liable thereof. ",,"partially implemented. as of year-end, unremitted taxes amounted to p840,188.98.",management adhered to the audit recommendation.,aar 2012,05-ambaguio2013_part3-status_of_pys_audit_recommendations.pdf
3471,"6. the municipality paid unauthorized expenditures in the amount of p3,955,413.01 from the 20% development fund in violation of dilg and dbm joint memorandum circular no. 2011-1 dated april 13, 2011. we recommend for management to adhere strictly to the provisions of the dilg dbm joint circular 2011-1 dated april 13, 2011 and section 5 thereof which reminds all concerned local chief executive that utilizing such fund, whether willfully or through negligence, for any purpose beyond those expressly prescribed by law or public policy shall be subject to the sanctions provided under the local government code and under such other applicable laws. ",,unimplemented. reiterated in finding 15 of this report.,management adhered to the audit recommendation.,aar 2012,05-ambaguio2013_part3-status_of_pys_audit_recommendations.pdf
3472,"7. the due from other funds amounting to p506,159.84 and its corresponding reciprocal account due to other funds amounting to p703,772.12 have a material difference of p197,612.28 due to the non- recognition of certain transactions in the reciprocal account of the originating fund on which the transaction should have been recorded. we recommended that the municipal accountant should reconcile the reciprocal accounts and settle the discrepancies for fair presentation in the financial statements. ",,"partially implemented. management was able to reduce the difference by p29,264.21 as of year-end.",management adhered to the audit recommendation.,aar 2012,05-ambaguio2013_part3-status_of_pys_audit_recommendations.pdf
3473,"8. the honoraria of the bac members, twg and the secretariat were charged/sourced from the appropriation of the general fund in violation of dbm circular 2007-003 dated november 29, 2007. we recommend for management to strictly comply with dbm circular no. 2007-003 to avoid audit disallowances and for management to properly discharge basic services to the public. ",,fully implemented. bac honoraria for the year were paid from the proceeds from sales of bid documents.,management adhered to the audit recommendation.,aar 2012,05-ambaguio2013_part3-status_of_pys_audit_recommendations.pdf
3474,"9. the municipal treasurer and the municipal accountant failed to perform regular reconciliation of cashbook with the general ledger contrary to section 181c of the government accounting and auditing manual (gaam), volume i resulting to doubtful balances of the cash-in-vault and cash-disbursing officers accounts. we recommend that the municipal treasurer and the accountable officers should reconcile their respective records with the subsidiary ledgers of the accounting office. they should identify as soon as possible the discrepancies between the cashbook and the general ledger so that necessary adjustments can be made to bring the two records in agreement. ",,unimplemented. notes to financial statements state that cash accountabilities of accountable officers are still subject for reconciliation.,management failed to adhere to the audit recommendation.,aar 2012,05-ambaguio2013_part3-status_of_pys_audit_recommendations.pdf
3476,"11. the municipality has no existing policy guidelines that set the rates to be paid to personnel hired in a job order/contract of work. moreover, the rates of these personnel were below the minimum rates as prescribed by the dbm hence, depriving the job order personnel to receive the minimum wage/salary for a day’s work. we recommend for management to: 1. comply strictly with the above- cited provisions of the csc and coa. 2. hire personnel as casual in order to augment the services of regular employees performing clerical and administrative aide duties and functions. 3. to increase the rate per day of the personnel hired in accordance with the rate set forth by the dbm on its 4th tranche effective january 2013. ",,fully implemented.,management adhered to the audit recommendation.,aar 2012,05-ambaguio2013_part3-status_of_pys_audit_recommendations.pdf
3477,"12. disallowance in audit totaling to p79,017.19 remained unsettled as of end of the year. we recommend that management should settle immediately the disallowance. ",,"partially implemented. as of year-end, receivables for disallowances amounted to p10,318.48.",management adhered to the audit recommendation.,aar 2012,05-ambaguio2013_part3-status_of_pys_audit_recommendations.pdf
3478,"13. four (4) parcels of land with recorded acquisition value of p237,400.00 acquired by the municipality through purchase are not covered by transfer certificate of title to show proof of ownership and were not supported with documents to substantiate the purpose. we recommended that the local chief executive give preferential attention in the documentation and titling of these lots to safeguard the municipality’s ownership over them. we further recommend that the municipal accountant see to it that all claims are accompanied with the requisite documents to assure that all are valid and legal claims against the fund of the municipal government before effecting payment thereof. ",,unimplemented. management did not pursue titling of the purchased lands. reiterated in finding no. 5 of this report.,no action taken by management,aar 2011,05-ambaguio2013_part3-status_of_pys_audit_recommendations.pdf
3479,"14. implementing rules and regulations (irr) of ra 9184 particularly provisions on the procurement of fuel and lubricants were not strictly followed by the bids and awards committee (bac); and specific guidelines governing fuel consumption and use of government motor transportation as provided in the manual on audit of fuel consumption of government motor vehicles were not strictly complied with by management, thereby rendering the transactions totaling p2,293,485.24 irregular. we recommended that the bids and awards committee strictly adhere with the rules and regulations. we also recommend that the municipal accountant ascertain that payments of gasoline, oil and lubricants are duly supported with properly accomplished driver’s trip tickets and approved requisition and issue vouchers or gas slips. furthermore, we recommended that the general services officer prepare and submit the monthly report of official travels and monthly report of fuel consumption for verification and audit. ",,unimplemented. reiterated in finding no. 11 of this report.,no action taken by management.,aar 2011,05-ambaguio2013_part3-status_of_pys_audit_recommendations.pdf
3480,"15. the municipal treasurer failed to demand for official receipts (o.r.) from the contractor upon release of check payments totaling p6,867,012.39 in violation of coa circular no. 2004-006. we recommended that the municipal treasurer demand for official receipts (o.r.) from the contractors in compliance with coa circular no. 2004- 006 and national internal revenue code. support the government’s campaign against tax evaders by requiring the official receipt/invoice of suppliers or contractors upon payment. ",,fully implemented.,no action taken by management.,aar 2011,05-ambaguio2013_part3-status_of_pys_audit_recommendations.pdf
3481,"16. disbursement vouchers and their supporting documents amounting to p5,246,038.55 were not submitted to the office of the auditor for audit, thus validity of these transactions could not be ascertained. we recommended that the municipal treasurer and the municipal accountant exert extra efforts to locate the missing vouchers, and if found, submit the same to the office of the auditor, for audit in conformity with section 6.05 of coa circular 95-006. consequently, we advise that appropriate legal action be filed against the officials involved for infidelity in the custody of documents in case the same can no longer be found. ",,partially implemented.,management submitted some but not all of the missing vouchers.,aar 2011,05-ambaguio2013_part3-status_of_pys_audit_recommendations.pdf
3482,"17. travel expenses of officials and employees were paid in excess of authorized rates and refund of transportation fares were claimed by officials with a monthly transportation allowance due to lack of review by the accounting office personnel, thus resulting in excessive and unnecessary claims amounting to p52,639.00 we recommended to the accounting office personnel to closely review and scrutinize supporting documents and where necessary, recompute the claims to avoid overpayment. moreover, we recommended that strong internal control system be enforced by the accounting office to avoid payment of excessive and unnecessary claims which might result to wastage of government funds. ",,partially implemented. minimal amounts of excessive travelling expenses were noticed in the disbursements for travelling expenses while the municipal health officer has stopped receiving her transportation allowance due to the service vehicle assigned to her.,management adhered to the audit recommendation.,aar 2011,05-ambaguio2013_part3-status_of_pys_audit_recommendations.pdf
3484,"19. audit suspensions and disallowances of p811,235.44 and p43,000.00 respectively, remained unsettled as of december 31, 2010. we recommended that management require the concerned officials/employees to settle their audit suspensions and disallowances and ensure that all necessary requirements shall be complied with to support the validity, propriety and legality of the transactions. ",,partially implemented.,"partial settlements were made on suspensions amounting to p6,376,738.07.",aar 2010,05-ambaguio2013_part3-status_of_pys_audit_recommendations.pdf
3498,"1. cash in vault account had a significant balance of p816,433.20 as of december 31, 2012 contrary to section 32 of the manual on the new government accounting system (mngas), thus exposing cash to possible loss or misapplication. we recommended that the oic - municipal treasurer deposit immediately all collections intact to the authorized depository bank pursuant to section 32 of the mngas, volume i to avoid possible loss or misapplication of government funds. 2. liquidation of cash advance within the reglementary period under section 89 of pd 1445 and sections 5.7 and 5.8 of coa circular no. 97- 002 was not given priority by the officials and employees, thus, resulted to large outstanding balance of p1,507,465.30 as of december 31, 2012. we recommended that management should stop granting cash advance to officials and employees unless previous one is first settled or a proper accounting thereof is made. continue withholding salaries or any money due the officers and employees with unliquidated cash advances to compel liquidation/settlement of their cash advances. further, we recommend that those officials and employees who failed to liquidate their cash advances must be dealt with accordingly with the sanctions provided for in the penal provisions of section 128 of p.d. 1445, that “any violation of the provisions of sections xx 89 and xx of this code or any regulation issued by the commission implementing these sections shall be punished by a fine not exceeding one thousand pesos or by imprisonment not exceeding six (6) months, or both such fine and imprisonment in the discretion of the court.” ",,not implemented. reiterated in this year’s audit report under finding no. 1 partially implemented. reiterated in this year’s audit report under finding no.2,,aa r 2012 aa r 2012,01-basistapanga2013_audit_report.pdf
3504,"2. purchases of supplies and materials amounting to p694,812.45 were directly charged to expense accounts instead of recording them as inventories, contrary to sections 4(j), 51 and 121 of coa circular no. 2002-003 dated june 20, 2002 of the new government accounting system (ngas), hence the inventory accounts were understated and the expense accounts was overstated as of year-end. we recommend that the accounting and the general service office should observe strictly the existing rules and regulations in recording purchases/receipt and issuance of inventories to ensure adequate control over inventories pursuant to the above cited-regulations. ",,.,fully implemented the accounting office recorded purchases of supplies and materials in the account as inventory.,aar-2012 p.16-18,05-basco2013_part3-status_of_py's_recommendations.pdf
3506,"4. the petty cash fund amounting to p28,688.31 was not liquidated at the end of the year which was in accordance with section 48 of the manual of the new government accounting system, volume i. we recommend that the municipal treasurer should strictly observe the provisions of section 48 manual of the new government accounting system, vol. i. ",,the accounting officer failed to refund the unexpended balance of petty cash fund at year end.,not implemented,aar-2012 p. 19-20,05-basco2013_part3-status_of_py's_recommendations.pdf
3508,"6. various hired personnel under “job order” contract of employment were charged to specific programs, project and activities of the lgu. farther evaluation revealed that the disbursements were not supported by the required accomplishment reports pursuant to item 1.2.1 of coa circular no. 2012-001 dated june 14, 2012. we recommend that accomplishment report should be submitted as required under the provision of coa circular no. 2012-001 dated june 14, 2012. ",,the accounting office attached mostly certifications that services were rendered on that period and some accomplishment report in their claimed of salaries and wages.,partially implemented,aar-2012 p. 20-21,05-basco2013_part3-status_of_py's_recommendations.pdf
3517,"1. there were various reconciling items indicated in the bank reconciliation statement prepared as of december 31, 2012 which remained unadjusted in the books of accounts rendering the cash in bank – lcca account unreliable. we recommended that the municipal accountant verify the various reconciling items indicated in the bank reconciliation statements and draw journal entry voucher to effect the necessary adjustments in the books of the municipality. we also recommended that the accounting unit maintain subsidiary ledger for each bank account to facilitate the preparation of bank reconciliation statements. further, we recommended that the municipal accountant and the municipal treasurer record deposits in the books of accounts on the dates these were actually deposited in order to reflect the correct balances of cash in bank as of a given date. ",,"partially implemented long outstanding reconciling item amounting to p44,854.63 still appear in the brs.",the municipal accountant record in the books of accounts the adjustments for some of the reconciling items.,aar 2012,01-balungao2013_audit_report.pdf
3520,"4. the perpetual inventory system was not adopted by the municipality as required under section 114 of the manual on new government accounting system (mngas). likewise, there was no public bidding conducted for the purchase of supplies and materials which is not in accordance with ra 9184. we reiterated previous year’s recommendation that the management adopt perpetual inventory system in conformity with the provisions of section 114 of the mngas. likewise, strict compliance with the provisions of ra 9184, otherwise known as the procurement law, particularly on the procurement of supplies and materials including the preparation of annual procurement plan for the ensuing year is also recommended. ",,partially implemented some purchase of supplies and materials except accountable forms were recorded as expense.,the municipal accountant recorded the purchase of supplies in the second semester as inventory. management procured supplies from dbm procurement service.,aar 2012,01-balungao2013_audit_report.pdf
3523,"7. the unexpended balances of the local disaster risk reduction and management fund (ldrrmf) of the municipality totaling p2,200,137.09 were all taken up as part of the continuing appropriations and were not transferred to the special trust fund which is not in conformity with the provisions of coa circular no. 2012-002 dated september 12, 2012. we recommended that the accounting unit verify and reclassify the unexpended balance of the ldrrmf in order to determine the correct balance of the unexpended qrf and drrmf-mmoe which are to be transferred to special trust fund and the unexpended balance of ldrrmf for capital outlay which are to be retained as part of the continuing appropriations in the general fund. strict compliance with the provisions of coa circular no. 2012-002 dated september 12, 2012 is recommended. ",,"not implemented the unexpended/unob ligated balance of the quick response fund and disaster risk reduction and management mooe amounting to p612,820.36 and p751,582.19, respectively, were not transferred to the special trust fund under the account “trust liability – drrm” in the trust fund books. reiterated in finding no. 17.",unexpended balances were charged to capital outlay.,aar 2012,01-balungao2013_audit_report.pdf
3525,"9. the municipal government was able to withhold taxes pertaining to compensation paid to officials and employees and purchases from suppliers/contractors during the year but did not fully comply with the provision of bir memorandum circular no. 23- 007 dated march 20, 2007 in the remittance of the amount withheld. we recommended that the management comply with the bir regulations as to the transactions which are subject to tax, prescribed date of remittance and computation based on the prescribed tax rates. ",,implemented,remitted taxes withheld to the bir.,aar 2012,01-balungao2013_audit_report.pdf
3526,"cash in vault in the amount of p 474,124.20 was not remitted at the end of the year in violation of coa circular 92-382 dated july 3, 1992 and section32, volume i of the manual on the new government accounting system for local government units. we have recommended that all collections of the municipality should be deposited intact and should be done regularly with its authorized depository bank pursuant to the aforementioned regulation. this is to avoid exposing the funds to the risk of loss, misapplication or misappropriation. cash advances granted to various officials and employees of the municipality totaling 2,041,176.31 remained unliquidated at year-end contrary to coa circular no. 97- 002 dated february 10, 1997. we recommended that management should strictly enforce the liquidation of outstanding cash advances especially those that are long overdue for liquidation. the local chief executive should consider the withholding of salaries of those concerned for the settlement of their outstanding cash advances. the municipal government of baggao paid the total amount of p 5,643,858.94 for wages of job order employees without a clear and written program/policy implementing guidelines in the hiring or engaging the services of job order employees. we have recommended to management to formulate a program/policy in assessing ",,the amount were collections arising during the last day of the year that the municipal treasurer informed that it is difficult to cope up in the late afternoon the cut-off time of the depository bank considering the distance of more or less sixty three (63) kilometers away from the depositing agency. however all collections were deposited intact with the bank in the early day of the ensuing year. the reduction of cash advances is due to payments made thru deductions from payroll of the officials concerned. the same comment is incorporated in the 2013 annual audit report,implemented partially implemented not implemented,2012 aar finding no. 01 2012 aar finding no. 02 2012 aar finding no. 03,03-baggao2013_part3-status_of_implementations_of_pys_recommendations.pdf
3610,"1. cash overdraft amounting to p2,679,016.29 was incurred by the municipality for the year 2012, affecting the liquidity of the lgu resulting to the curtailment of cash backing on the repayment of its financial obligations. we recommended and management agreed that the municipality institute economy measures and budgetary controls. revenue generation should also be enhanced and that collection efforts on local taxes are maximized considering that there are still delinquent collections not yet realized by the local treasury. ",,fully implemented,the management instituted economic measures and budgetary controls in all transactions in the municipality to solve this.,aa r 2012,01-sanfabianpanga2013_audit_report.pdf
3612,"3. several disbursements with a total of p8,102,497.87 were paid in “cash”. it is recommended that management stop paying payables, obligations and indebtedness in cash but must be paid in checks except for petty cash expenses of not more than p1,000.00. ",,fully implemented,corrective measures were undertaken by the management to implement the recommendation.,aa r 2012,01-sanfabianpanga2013_audit_report.pdf
3614,"5. lack of financial resources and sustainability resulted to net loss amounting to p1,960,682.16 in the operations of the san fabian pta beach resort for the year 2012, thus depleting other lgu funds and sacrificing other basic services of the municipality. we recommended the possibility of renting out the facility to interested private businessmen to avoid future recurrence of substantial operational net loss that may adversely affect not only the financial condition of the municipality, but also, the delivery of basic services. ",,reiterated under finding no. 9 of this report.,"the management sent communication to the national` pta office if there is a possibility that the lgu can rent out to private organization. as of this writing, no reply yet was received from the pta.",aa r 2012,01-sanfabianpanga2013_audit_report.pdf
3616,8. during the review of financial records it was noted that fund transfers from various government agencies were not implemented by the lgu in the year 2012. management must fully utilize the fund transfers in accordance with their intended purposes in order to maximize the benefits that could be derived by the townspeople. ,,fully implemented,,aa r 2012,01-sanfabianpanga2013_audit_report.pdf
3721,"2. the agency had incurred deficit/ net loss of p313,881.78 under the general fund which is contrary to the provision of section 337 of ra 7160, affecting the financial condition of the municipality. we recommend that the local finance committee conduct a thorough review on the municipality’s resources and its budget. management should closely monitor/limit its expenses within the approved appropriations in order to avoid the incurrence of net loss/deficit. ",,implemented.,,2012 aar,01-rosalespanga2013_audit_report.pdf
3723,"4. the accuracy of the cash in bank-lcca for all funds amounting to p21,627,685.13 was not ascertained in view of the absence of bank reconciliation statements. we recommend that the municipal accountant prepare bank reconciliation statements to ascertain validity and accuracy of the cash in bank account. we likewise reiterate our previous year’s recommendation that the accounting office maintain subsidiary ledgers for the municipality’s bank accounts to ensure accuracy and reliability of the cash in bank account presented in the financial statements. ",,partially implemented.,the municipal accountant is now preparing and submitting bank reconciliation statements.,2012 aar,01-rosalespanga2013_audit_report.pdf
3725,"6. cash advances to officers and employees (148) and due from officers and employees (123) accounts amounting to p405,545.44, and p4,460,709.93, respectively, remained outstanding at year-end contrary to the provisions of section 89 of presidential decree no. 1445 and coa circular no. 97-002. we recommend that management continue causing the immediate liquidation of the outstanding cash advances. we also recommend that the agency head who has the responsibility of ensuring the proper implementation of coa circular no. 97-002 as provided under section 8 thereof, require the withholding of the salaries of officials and employees with long overdue cash advances in accordance with existing regulations. furthermore, the municipal accountant should not certify any claim for cash advances of officials and employees with existing unliquidated cash advances pursuant to the aforementioned regulations. ",,partially implemented. the amount of cash advances had decreased substantially.,"the management complied with the recommendation causing the immediate liquidation of the outstanding cash advances. the amount p4,460,709.93 was transferred to proper account.",2012 aar,01-rosalespanga2013_audit_report.pdf
3729,"10. the 20% development fund was not fully utilized by the management during the year, thus deprived its constituents of the benefits that could have been derived therefrom. we recommend maximum utilization of the 20% development fund so that the expected benefits could be derived immediately by the beneficiaries. in addition, we reiterated previous year’s recommendation that the management observe proper utilization of the fund in compliance with the dbm and dilg guidelines. ",,partially implemented.,"management implemented fully the 20% development fund, however, we noted that some were not in accordance with the guidelines on the proper utilization of the fund.",aar 2012,01-rosalespanga2013_audit_report.pdf
3763,"1. cash advances granted to officers and employees amounting to p853,814.47 remained unliquidated although the purpose for the grant of these cash advances have long been completed thus, exposing the funds to the risk of misuse. 2. the recorded balance of loan of the municipal government of p210, 000.00 from the land bank of the philippines is unreliable due to discrepancy with the balance appearing in the books of the latter. in addition, the we reiterated our recommendation that officials and employees of the municipal government with outstanding cash advance should be directed to immediately liquidate/settle their cash advances to avoid possible misuse of government funds. if warranted, withhold the salaries of those who fail or refuse to comply with the regulations. henceforth, monitor closely all outstanding cash advances and demand immediately the liquidations. management should strictly enforce the time limits in the liquidation of cash advances. we recommend that management should make a periodic reconciliation with the",,"not implemented cash advances were decreased to p 592, 275.86 as of december 31, 2013. the receivables account was overstated while the related expense accounts are understated. reiterated as finding no. 01 of this report. fully implemented. the loan was fully paidas of dec. 31, 2013.the liabilities of the lgu were decreased.","manageme nt monitored liquidation of cash advances. every monday convocatio ns, the municipal treas. announced the matter however, manageme nt still grants cash advances even previous cash advances were not liquidated. reiterated as finding no. 02 of this report. the necessary adjustment to correct the difference in the books of the municipalit y was reflected.",2011 aar 2012 aar,05-saguday2013_part3-status_of_py's_recommendations.pdf
